MsgOut,BytesOut,MsgIn,BytesIn
0,0,17582,1130160,
0,0,87427,21391297,
19709,1283935,0,0,
83188,21574852,0,0,
0,0,16673,1215077,
0,0,92041,21680101,
21598,1377254,0,0,
84710,21769846,0,0,
0,0,18177,1346425,
0,0,92455,21806399,
20989,1419787,0,0,
87206,21967846,0,0,
0,0,16689,1130611,
0,0,95787,22269501,
22206,1422230,0,0,
87422,22192166,0,0,
0,0,10796,955794,
0,0,102739,22626257,
25449,1405725,0,0,
88372,22488198,0,0,
0,0,10580,791304,
0,0,105486,22964912,
21525,1184017,0,0,
92952,22766618,0,0,
0,0,9784,715958,
0,0,106355,23062461,
16440,863752,0,0,
98640,23111372,0,0,
0,0,0,0,
0,0,0,0,
1,21,0,0,
0,0,0,0,
0,0,2,96,
0,0,0,0,
1,21,0,0,
2,46,0,0,
0,0,1,75,
0,0,2,96,
1,21,0,0,
3,121,0,0,
0,0,1,75,
0,0,5,321,
3,171,0,0,
4,196,0,0,
0,0,1,75,
0,0,6,396,
3,171,0,0,
5,271,0,0,
0,0,2,150,
0,0,6,396,
3,171,0,0,
6,346,0,0,
0,0,1,75,
0,0,9,621,
3,225,0,0,
8,442,0,0,
0,0,2,150,
0,0,10,696,
3,215,0,0,
10,592,0,0,
0,0,3,225,
0,0,11,771,
4,290,0,0,
11,667,0,0,
0,0,81,53393,
0,0,34,13854,
93,63977,0,0,
19,4049,0,0,
0,0,279,120639,
0,0,213,108509,
462,238510,0,0,
70,37264,0,0,
0,0,741,226903,
0,0,448,252564,
1167,544539,0,0,
208,99084,0,0,
0,0,1237,339235,
0,0,869,408387,
1641,690017,0,0,
1112,465090,0,0,
0,0,2477,592545,
0,0,1370,580376,
2059,821117,0,0,
2038,916270,0,0,
0,0,3345,819399,
0,0,3007,905763,
3048,842922,0,0,
2628,1322064,0,0,
0,0,4432,972362,
0,0,4885,1462507,
3800,713238,0,0,
4286,1833202,0,0,
0,0,6320,1528744,
0,0,6079,1560449,
4279,1221939,0,0,
5862,2054140,0,0,
0,0,8132,1779646,
